zip,primary_city,state,county,area_codes
40003,Bagdad,KY,Shelby County,502
40004,Bardstown,KY,Nelson County,502
40006,Bedford,KY,Trimble County,502
40007,Bethlehem,KY,Henry County,502
40008,Bloomfield,KY,Nelson County,859502
40009,Bradfordsville,KY,Marion County,270
40010,Buckner,KY,Oldham County,502
40011,Campbellsburg,KY,Henry County,502
40012,Chaplin,KY,Nelson County,502
40013,Coxs Creek,KY,Nelson County,
40014,Crestwood,KY,Oldham County,502
40018,Eastwood,KY,Jefferson County,502
40019,Eminence,KY,Henry County,502
40020,Fairfield,KY,Nelson County,502
40022,Finchville,KY,Shelby County,502
40023,Fisherville,KY,Jefferson County,502
40025,Glenview,KY,Jefferson County,502
40026,Goshen,KY,Oldham County,502
40027,Harrods Creek,KY,Jefferson County,502
40031,La Grange,KY,Oldham County,502
40032,La Grange,KY,Oldham County,502
40033,Lebanon,KY,Marion County,270
40036,Lockport,KY,Henry County,502
40037,Loretto,KY,Marion County,270
40040,Mackville,KY,Washington County,859
40041,Masonic Home,KY,Jefferson County,502
40045,Milton,KY,Trimble County,502
40046,Mount Eden,KY,Spencer County,502
40047,Mount Washington,KY,Bullitt County,502
40048,Nazareth,KY,Nelson County,502
40049,Nerinx,KY,Marion County,270
40050,New Castle,KY,Henry County,502
40051,New Haven,KY,Nelson County,502
40052,New Hope,KY,Nelson County,
40055,Pendleton,KY,Henry County,
40056,Pewee Valley,KY,Oldham County,502
40057,Pleasureville,KY,Henry County,502
40058,Port Royal,KY,Henry County,502
40059,Prospect,KY,Jefferson County,
40060,Raywick,KY,Marion County,270
40061,Saint Catharine,KY,Washington County,859
40062,Saint Francis,KY,Marion County,270
40063,Saint Mary,KY,Marion County,270
40065,Shelbyville,KY,Shelby County,502
40066,Shelbyville,KY,Shelby County,502
40067,Simpsonville,KY,Shelby County,502
40068,Smithfield,KY,Henry County,502
40069,Springfield,KY,Washington County,859
40070,Sulphur,KY,Henry County,502
40071,Taylorsville,KY,Spencer County,502
40075,Turners Station,KY,Henry County,502
40076,Waddy,KY,Shelby County,502
40077,Westport,KY,Oldham County,502
40078,Willisburg,KY,Washington County,859
40104,Battletown,KY,Meade County,270
40107,Boston,KY,Nelson County,502
40108,Brandenburg,KY,Meade County,270
40109,Brooks,KY,Bullitt County,502
40110,Clermont,KY,Bullitt County,502
40111,Cloverport,KY,Breckinridge County,270
40115,Custer,KY,Breckinridge County,270
40117,Ekron,KY,Meade County,270
40118,Fairdale,KY,Jefferson County,502
40119,Falls Of Rough,KY,Grayson County,270
40121,Fort Knox,KY,Hardin County,502
40122,Fort Knox,KY,Hardin County,
40129,Hillview,KY,Bullitt County,502
40140,Garfield,KY,Breckinridge County,270
40142,Guston,KY,Meade County,270
40143,Hardinsburg,KY,Breckinridge County,270
40144,Harned,KY,Breckinridge County,270
40145,Hudson,KY,Breckinridge County,270
40146,Irvington,KY,Breckinridge County,270
40150,Lebanon Junction,KY,Bullitt County,502
40152,Mc Daniels,KY,Breckinridge County,270
40153,Mc Quady,KY,Breckinridge County,270
40155,Muldraugh,KY,Meade County,502
40157,Payneville,KY,Meade County,270
40159,Radcliff,KY,Hardin County,270
40160,Radcliff,KY,Hardin County,502270
40161,Rhodelia,KY,Meade County,
40162,Rineyville,KY,Hardin County,270
40165,Shepherdsville,KY,Bullitt County,502
40166,Shepherdsville,KY,,
40170,Stephensport,KY,Breckinridge County,270
40171,Union Star,KY,Breckinridge County,270
40175,Vine Grove,KY,Hardin County,502270
40176,Webster,KY,Breckinridge County,270
40177,West Point,KY,Hardin County,502
40178,Westview,KY,Breckinridge County,270
40201,Louisville,KY,Jefferson County,502
40202,Louisville,KY,Jefferson County,502
40203,Louisville,KY,Jefferson County,502
40204,Louisville,KY,Jefferson County,502
40205,Louisville,KY,Jefferson County,502
